,ID_REF,m2h 1-pvalue,m2h stat,m2h2-pvalue
37370,228116_at,0.507174155,0.018030334,0.985651689
26815,217530_at,0.507201651,0.018099445,0.985596698
48637,239388_at,0.507353056,0.018480006,0.985293887
29081,219797_at,0.507404935,0.018610404,0.98519013
30794,221511_x_at,0.507409823,0.018622691,0.985180354
44925,235676_at,0.507424357,0.018659222,0.985151286
403,1552819_at,0.50743718,0.018691452,0.985125641
10102,200654_at,0.507506436,0.018865531,0.984987128
42821,233570_at,0.507509995,0.018874478,0.98498001
444,1552879_a_at,0.507558201,0.018995646,0.984883597
17032,207591_s_at,0.507572349,0.019031207,0.984855302
21164,211849_s_at,0.507606212,0.019116323,0.984787576
11034,201586_s_at,0.507609493,0.019124571,0.984781014
53622,244372_at,0.507646774,0.01921828,0.984706451
30113,220829_s_at,0.507665174,0.019264529,0.984669652
50504,241255_at,0.507680262,0.019302453,0.984639476
35433,226177_at,0.507700476,0.019353263,0.984599048
43939,234690_at,0.507700576,0.019353513,0.984598849
17838,208417_at,0.507750951,0.019480135,0.984498098
53556,244306_at,0.507846476,0.019720246,0.984307048
52970,243721_at,0.507885631,0.019818666,0.984228737
33869,224610_at,0.507902918,0.019862118,0.984194164
34425,225168_at,0.507903842,0.019864439,0.984192317
29571,220287_at,0.507921622,0.019909131,0.984156757
12510,203061_s_at,0.507925364,0.019918538,0.984149272
15708,206262_at,0.507938341,0.019951157,0.984123318
48842,239593_at,0.507977673,0.020050023,0.984044654
8701,1567703_at,0.508000555,0.020107539,0.98399889
21041,211720_x_at,0.508000779,0.020108102,0.983998442
25568,216276_s_at,0.508022864,0.020163614,0.983954272
7376,1563841_at,0.508024605,0.020167992,0.98395079
5072,1559940_s_at,0.508069643,0.020281199,0.983860714
46707,237458_at,0.50811139,0.020386136,0.98377722
26344,217054_at,0.508115738,0.020397066,0.983768523
38145,228891_at,0.508138186,0.020453491,0.983723628
13416,203969_at,0.508187212,0.020576724,0.983625576
51726,242477_at,0.508197358,0.020602226,0.983605285
34073,224815_at,0.508205468,0.020622613,0.983589064
52138,242889_x_at,0.508210843,0.020636125,0.983578313
52208,242959_at,0.5082404,0.02071042,0.9835192
49124,239875_at,0.508266292,0.020775503,0.983467415
52346,243097_x_at,0.50829319,0.020843115,0.983413619
13168,203721_s_at,0.508341058,0.020963439,0.983317883
32399,223121_s_at,0.508345455,0.02097449,0.98330909
19418,210013_at,0.508345775,0.020975295,0.98330845
27618,218333_at,0.508362027,0.021016147,0.983275946
36824,227570_at,0.508377996,0.021056288,0.983244007
50450,241201_at,0.508412657,0.021143413,0.983174686
26109,216819_at,0.508465701,0.021276748,0.983068598
42310,233057_at,0.508477854,0.021307298,0.983044292
25752,216461_at,0.50850093,0.021365303,0.98299814
36784,227530_at,0.508511373,0.021391554,0.982977253
21716,212411_at,0.508543402,0.021472064,0.982913195
9933,1570653_at,0.508544161,0.021473972,0.982911678
24357,215063_x_at,0.508571767,0.021543363,0.982856467
43756,234507_at,0.508596348,0.021605153,0.982807304
24615,215321_at,0.508622028,0.021669706,0.982755943
54398,44146_at,0.508675928,0.021805193,0.982648144
16181,206735_at,0.508681994,0.021820442,0.982636011
10182,200734_s_at,0.508716684,0.021907641,0.982566633
8117,1566033_at,0.508747716,0.021985648,0.982504568
39415,230161_at,0.508757082,0.02200919,0.982485836
35131,225874_at,0.508757932,0.022011326,0.982484137
4365,1558711_at,0.5087907,0.022093697,0.9824186
34691,225434_at,0.50882788,0.022187156,0.982344241
45049,235800_at,0.50883802,0.022212646,0.98232396
19544,210140_at,0.508906478,0.022384731,0.982187043
10790,201342_at,0.508913504,0.022402391,0.982172993
48219,238970_at,0.5089281,0.022439082,0.982143801
21877,212572_at,0.508940277,0.022469693,0.982119446
52494,243245_at,0.508957396,0.022512725,0.982085208
5278,1560298_at,0.508967139,0.022537216,0.982065722
29502,220218_at,0.508975303,0.022557739,0.982049394
15864,206418_at,0.508980538,0.022570899,0.982038923
20851,211525_s_at,0.509069855,0.022795418,0.981860291
36366,227111_at,0.509070066,0.02279595,0.981859867
53613,244363_at,0.50907708,0.022813581,0.98184584
28713,219429_at,0.50908286,0.022828109,0.981834281
30433,221150_at,0.509094379,0.022857065,0.981811243
8380,1566665_at,0.509100445,0.022872316,0.981799109
5541,1560769_at,0.509145438,0.022985416,0.981709124
